codice,comune,regione,popolazione
LOM002,Brescia,Lombardia,196745
SIC002,Catania,Sicilia,301248
CAL001,Catanzaro,Calabria,87024
CAL002,Cosenza,Calabria,60775
TOS001,Firenze,Toscana,358079
LAZ001,Frosinone,Lazio,46243
ABR001,L'Aquila,Abruzzo,69147
BAS001,Matera,Basilicata,59002
LOM001,Milano,Lombardia,1409252
CAM001,Napoli,Campania,909048
SIC001,Palermo,Sicilia,640598
ABR002,Pescara,Abruzzo,116286
TOS002,Pisa,Toscana,90617
BAS002,Potenza,Basilicata,66076
CAL003,Reggio Calabria,Calabria,172183
LAZ002,Roma,Lazio,2783809
CAM002,Salerno,Campania,130009
TOS003,Siena,Toscana,53901
ABR003,Teramo,Abruzzo,52929
